gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx942,304,1,3392,6144,ck,8,0,20.5387,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.03,1015.32,0.0
gfx942,304,2,3392,6144,ck,8,0,20.5961,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.05,1013.12,0.0
gfx942,304,4,3392,6144,ck,8,0,20.7423,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.04,1007.22,0.0
gfx942,304,8,3392,6144,ck,8,0,20.9136,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,15.94,1001.45,0.0
gfx942,304,16,3392,6144,ck,8,0,21.094,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,31.62,997.79,0.0
gfx942,304,32,3392,6144,ck,8,0,20.966,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,63.62,1013.74,0.0
gfx942,304,40,3392,6144,ck,8,0,21.0314,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,79.27,1015.51,0.0
gfx942,304,48,3392,6144,ck,8,0,20.8685,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,95.87,1028.39,0.0
gfx942,304,56,3392,6144,ck,8,0,21.4245,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,108.95,1006.53,0.0
gfx942,304,64,3392,6144,ck,8,0,21.1148,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,126.34,1026.19,0.0
gfx942,304,72,3392,6144,ck,8,0,22.2572,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,134.83,978.17,0.0
gfx942,304,80,3392,6144,ck,8,0,22.6601,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,147.15,965.34,0.0
gfx942,304,96,3392,6144,ck,13,0,28.1458,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,142.17,784.54,0.0
